iter	Passed	Remaining
401	18288	27204
402	18329	27152
403	18367	27095
404	18409	27046
405	18451	26995
406	18496	26949
407	18542	26904
408	18589	26862
409	18628	26807
410	18670	26757
411	18713	26707
412	18754	26655
413	18794	26603
414	18836	26552
415	18883	26509
416	18922	26454
417	18968	26410
418	19011	26362
419	19048	26304
420	19094	26260
421	19140	26216
422	19182	26165
423	19228	26121
424	19268	26069
425	19311	26020
426	19352	25969
427	19392	25917
428	19431	25863
429	19474	25814
430	19518	25768
431	19561	25720
432	19604	25672
433	19646	25621
434	19692	25577
435	19734	25527
436	19780	25483
437	19825	25438
438	19872	25395
439	19912	25343
440	19956	25296
441	20002	25251
442	20048	25207
443	20092	25161
444	20134	25111
445	20181	25068
446	20226	25022
447	20268	24974
448	20314	24929
449	20355	24878
450	20392	24823
451	20433	24772
452	20477	24726
453	20522	24680
454	20563	24631
455	20607	24584
456	20650	24537
457	20689	24483
458	20727	24430
459	20769	24381
460	20812	24333
461	20855	24285
462	20897	24237
